Code plate-forme;Code gare;Code UIC;Date fin validité plateforme;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;Segment DRG;Niveau de service;RG;TVSs;SOPs;Gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;DTG;Région SNCF;Unité gare;UT;Nbre plateformes;TVS;WGS 84
02249-1;02249;0087316398;;Heilles - Mouchy;60250;;;;;2.2725858;49.340531;c;1;GARES C PICARDIE;;;;;;;;;;;;;;49.340531,2.2725858
02256-1;02256;0087316059;;Heilly;80113;;;;;2.5396593;49.9435191;c;1;GARES C PICARDIE;"[{""TVS_Code"": ""HLY""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Heilly"", ""Alias_Libelle_Fronton"": ""Heilly"", ""AgenceGC_Libelle"": ""DRG HDF-Normandie"", ""RegionSNCF_Libelle"": ""REGION PICARDIE"", ""UG_Libelle"": ""UG Picardie"", ""UT_Libelle"": ""HEILLY GARE""}";Heilly;Heilly;True;False;DRG HDF-Normandie;REGION PICARDIE;UG Picardie;HEILLY GARE;1;HLY;49.9435191,2.5396593
02258-1;02258;0087315044;;Daours;80800;;;;;2.4590533;49.899267;c;1;GARES C PICARDIE;"[{""TVS_Code"": ""DAO""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Daours"", ""Alias_Libelle_Fronton"": ""Daours"", ""AgenceGC_Libelle"": ""DRG HDF-Normandie"", ""RegionSNCF_Libelle"": ""REGION PICARDIE"", ""UG_Libelle"": ""UG Picardie"", ""UT_Libelle"": ""DAOURS HALTE""}";Daours;Daours;True;False;DRG HDF-Normandie;REGION PICARDIE;UG Picardie;DAOURS HALTE;1;DAO;49.899267,2.4590533
02262-1;02262;0087313833;;Formerie;60220;;;;;1.7229081;49.6542178;c;1;GARES C PICARDIE;"[{""TVS_Code"": ""FMR""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Formerie"", ""Alias_Libelle_Fronton"": ""Formerie"", ""AgenceGC_Libelle"": ""DRG HDF-Normandie"", ""RegionSNCF_Libelle"": ""REGION PICARDIE"", ""UG_Libelle"": ""UG Picardie"", ""UT_Libelle"": ""FORMERIE P GARE""}";Formerie;Formerie;True;False;DRG HDF-Normandie;REGION PICARDIE;UG Picardie;FORMERIE P GARE;1;FMR;49.6542178,1.7229081
02269-1;02269;0087313726;;Marseille-en-Beauvaisis;60860;;;;;1.9546349;49.5709066;c;1;GARES C PICARDIE;;;;;;;;;;;;;;49.5709066,1.9546349
02275-1;02275;0087313668;;Méru;60110;;;;;2.13254;49.23233;b;1;GARES B PICARDIE;;;;;;;;;;;;;;49.23233,2.13254
02283-1;02283;0087313510;;Beauvais;60000;;;;;2.08869;49.42648;b;2;GARES B PICARDIE;;;;;;;;;;;;;;49.42648,2.08869
02284-1;02284;0087313494;;Ham;80400;;;;;3.07052;49.73985;b;1;GARES B PICARDIE;"[{""TVS_Code"": ""HAM""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Ham"", ""Alias_Libelle_Fronton"": ""Ham"", ""AgenceGC_Libelle"": ""DRG HDF-Normandie"", ""RegionSNCF_Libelle"": ""REGION PICARDIE"", ""UG_Libelle"": ""UG Picardie"", ""UT_Libelle"": ""HAM (SOMME) GARE""}";Ham;Ham;True;False;DRG HDF-Normandie;REGION PICARDIE;UG Picardie;HAM (SOMME) GARE;1;HAM;49.73985,3.07052
02290-1;02290;0087313403;;Remy;60190;;;;;2.7059434;49.4331452;c;1;GARES C PICARDIE;"[{""TVS_Code"": ""REY""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Remy"", ""Alias_Libelle_Fronton"": ""Rémy"", ""AgenceGC_Libelle"": ""DRG HDF-Normandie"", ""RegionSNCF_Libelle"": ""REGION DE PARIS-NORD"", ""UG_Libelle"": ""UG Picardie"", ""UT_Libelle"": ""REMY (OISE) GARE""}";Remy;Rémy;True;False;DRG HDF-Normandie;REGION DE PARIS-NORD;UG Picardie;REMY (OISE) GARE;1;REY;49.4331452,2.7059434
02291-1;02291;0087313395;;Poix-de-Picardie;80290;;;;;1.9897767;49.7778561;b;1;GARES B PICARDIE;;;;;;;;;;;;;;49.7778561,1.9897767
